Start	Stop	Strand	Number of Genes	Genes
337	5020	+	3	thrA, thrB, thrC
10643	11786	-	2	yaaW, yaaI
16751	16960	-	2	mokC, hokC
19811	20508	-	2	insB1, insA
21181	22348	+	2	yaaY, ribF
22391	25701	+	2	ileS, lspA
25826	27227	+	2	fkpB, ispH
29651	34038	+	2	carA, carB
34781	36162	-	2	caiE, caiD
39244	41931	-	2	caiA, caiT
42403	44129	+	2	fixA, fixB
44180	45750	+	2	fixC, fixX
47246	49631	+	2	kefF, kefC
50380	54702	-	5	apaH, apaG, rsmA, pdxA, surA
59687	63264	-	2	rluA, rapA
66835	70048	-	2	araA, araB
72229	75480	-	3	thiQ, thiP, thiB
78848	83529	-	4	leuD, leuC, leuB, leuA
85630	87848	+	2	ilvI, ilvH
89634	100711	+	10	mraZ, rsmH, ftsL, ftsI, murE, murF, mraY, murD, ftsW, murG
100765	105244	+	4	murC, ddlB, ftsQ, ftsA
111649	113219	-	3	yacG, zapD, coaE
114522	117549	-	3	hofC, hofB, ppdD
118733	120135	+	2	ampD, ampE
123017	127587	+	2	aceE, aceF
134788	136464	-	2	speD, speE
142779	144472	+	2	yadG, yadH
147944	149601	-	2	panC, panB
151003	156201	-	5	yadK, yadL, yadM, htrE, yadV
157253	159126	-	2	folK, pcnB
159186	160604	-	2	gluQ, dksA
160782	162031	-	2	sfsA, ligT
169778	173444	+	3	fhuC, fhuD, fhuB
177001	179153	-	3	yadS, btuF, mtn
185123	188650	-	2	dapD, glnD
194903	200360	+	4	ispU, cdsA, rseP, bamA
200482	201996	+	2	skp, lpxD
202101	209580	+	6	fabZ, lpxA, lpxB, rnhB, dnaE, accA
213678	214125	-	2	rof, yaeP
214291	215979	+	3	yaeQ, arfB, nlpE
218887	219995	-	2	tsaA, rcsF
220113	222645	-	3	metQ, metI, metN
231122	232549	+	2	yafD, yafE
245961	246502	-	2	yafQ, dinJ
252005	253161	+	3	yafN, yafO, yafP
260388	262756	+	2	proB, proA
263328	265206	-	5	ykfI, yafW, ykfH, ykfG, yafX
265620	266553	-	2	ykfB, yafY
275325	277647	+	2	mmuP, mmuM
279178	279875	-	2	insB1, insA
282278	285168	+	2	yagE, yagF
285395	288399	+	2	yagG, yagH
290649	291346	-	2	insB1, insA
293220	294799	-	2	yagL, yagM
297770	302573	-	4	paoD, paoC, paoB, paoA
304495	310026	-	4	ecpE, ecpD, ecpC, ecpB
312374	312777	-	2	ykgO, ykgM
315291	316453	+	2	insE1, insF1
317726	318567	-	2	rclC, rclB
321608	324453	+	3	ykgE, ykgF, ykgG
325577	329334	-	3	betA, betB, betI
335280	339743	+	4	yahD, yahE, yahF, yahG
340165	342507	+	2	yahI, yahJ
350012	354592	+	3	prpC, prpD, prpE
354922	357454	+	2	codB, codA
358799	361146	+	3	cynT, cynS, cynX
368611	374881	+	6	mhpA, mhpB, mhpC, mhpD, mhpF, mhpE
378462	379881	-	2	frmA, frmR
381351	382579	+	2	insC1, insD1
385232	388646	+	4	tauA, tauB, tauC, tauD
391739	392901	-	2	insF1, insE1
396639	398966	+	2	sbmA, yaiW
412607	416952	-	2	sbcC, sbcD
426137	430476	+	4	tgt, yajC, secD, secF
433002	434558	+	2	nrdR, ribD
434647	435556	+	2	ribE, nusB
435634	437107	+	2	thiL, pgpA
438315	441343	-	3	dxs, ispA, xseB
443051	444515	-	2	yajL, panE
446815	451610	-	5	cyoE, cyoD, cyoC, cyoB, cyoA
468383	472417	+	3	ybaO, mdlA, mdlB
472598	474252	+	2	glnK, amtB
480090	480708	-	2	hha, tomB
481254	485619	-	2	acrB, acrA
490110	490812	-	2	ybaM, priC
494076	495010	+	2	ybaB, recR
511641	513868	+	2	glsA, ybaT
514401	515773	-	2	ybbJ, qmcA
515919	517362	+	2	fetA, fetB
518340	519765	-	2	ybbO, tesA
519733	522830	+	2	ybbA, ybbP
523261	527949	+	2	rhsD, ybbC
533916	536486	+	2	gcl, hyi
540565	543033	+	2	ybbY, glxK
543261	546363	-	3	allE, allC, allD
546680	551332	+	4	fdrA, ylbE, ylbF, ybcF
551527	553100	-	2	purK, purE
553218	554437	-	2	lpxH, ppiB
556661	557741	-	2	ybcJ, folD
558974	563845	+	4	sfmC, sfmD, sfmH, sfmF
566842	568004	+	2	insE1, insF1
570893	572251	+	2	ybcL, ybcM
572368	573870	+	6	ylcH, ybcN, ninE, ybcO, rusA, ylcG
577398	578568	+	4	essD, rrrD, rzpD, rzoD
587091	593178	-	3	ybcH, nfrA, nfrB
593328	595443	-	2	cusS, cusR
597131	601857	+	3	cusF, cusB, cusA
612737	618038	+	3	fes, ybdZ, entF
619384	622189	-	3	fepC, fepG, fepD
624885	629713	+	5	entC, entE, entB, entA, entH
634747	636569	-	2	ybdM, ybdN
646631	651856	-	6	citG, citX, citF, citE, citD, citC
652235	654542	+	2	citA, citB
664102	669036	-	5	rlpA, mrdB, mrdA, rlmH, rsfS
669296	674783	-	5	cobC, nadD, holA, lptE, leuS
676711	678842	+	2	ybeR, djlB
679508	681663	+	2	ybeU, djlC
684530	686669	-	3	gltL, gltK, gltJ
689343	691784	-	2	lnt, ybeX
691874	693378	-	2	ybeY, ybeZ
700374	702751	-	2	nagC, nagA
710200	710725	-	2	fur, uof
712987	715198	+	2	seqA, pgm
716946	720460	-	2	potE, speF
721056	728821	-	6	kdpE, kdpD, kdpC, kdpB, kdpA, kdpF
729583	734102	+	2	rhsC, ybfB
739001	740925	+	2	ybgA, phr
742827	746726	+	5	ybgI, ybgJ, ybgK, ybgL, nei
747921	752169	-	3	ybgO, ybgP, ybgQ
755177	758405	+	4	sdhC, sdhD, sdhA, sdhB
758706	762739	+	2	sucA, sucB
763014	765049	+	2	sucC, sucD
765984	770611	+	2	mngA, mngB
771458	774602	+	4	cydA, cydB, cydX, ybgE
774752	776277	+	3	ybgC, tolQ, tolR
777740	780389	+	3	tolB, pal, ybgF
782085	783885	+	2	nadA, pnuC
787797	792055	-	4	galM, galK, galT, galE
795089	797612	+	3	modA, modB, modC
809344	812947	+	4	bioB, bioF, bioC, bioD
817044	819747	+	5	moaA, moaB, moaC, moaD, moaE
