Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 1
	190	255		+	thrL	b0001	-	26
311	337	2799	2800	+	thrA	b0002	-	1691
698			500	-	-	predicted RNA	antisense: thrA	1967
894			792	-	-	predicted RNA	antisense: thrA	1935
1020			972	-	-	predicted RNA	antisense: thrA	3568
1327			1098	-	-	predicted RNA	antisense: thrA	1498
1929			1419	-	-	predicted RNA	antisense: thrA	1960
2167			2130	-	-	predicted RNA	antisense: thrA	2657
2471			2432	-	-	predicted RNA	antisense: thrA	1728
2794			2583	-	-	predicted RNA	antisense: thrA	1905
2801	2801	3733		+	thrB	b0003	-	1332
2985			2885	-	-	predicted RNA	antisense: thrB	2217
3231			3102	-	-	predicted RNA	antisense: thrB	2446
3412			3286	-	-	predicted RNA	antisense: thrB	2195
3500			3479	-	-	predicted RNA	antisense: thrB	1693
3651			3558	-	-	predicted RNA	antisense: thrB	1718
	3734	5020	5020	+	thrC	b0004	-	1199
4872			4582	-	-	predicted RNA	antisense: thrC	1876
4978			4939	-	-	predicted RNA	antisense: thrC	2173
	5234	5530		+	yaaX	b0005	-	51
	6459	5683		-	yaaA	b0006	-	24
	7959	6529		-	yaaJ	b0007	-	8
8206	8238	9191	9191	+	talB	b0008	-	521
8458			8435	-	-	predicted RNA	antisense: talB	1932
9083			9063	-	-	predicted RNA	antisense: talB	2026
	9306	9893		+	mog	b0009	-	87
	10494	9928		-	satP	b0010	-	47
	11356	10643		-	yaaW	b0011	-	8
	11786	11382		-	yaaI	b0013	-	3
12114	12163	14079	14079	+	dnaK	b0014	-	1057
12396			12365	-	-	predicted RNA	antisense: dnaK	2524
12820			12687	-	-	predicted RNA	antisense: dnaK	1827
13055			13029	-	-	predicted RNA	antisense: dnaK	2148
13145			13111	-	-	predicted RNA	antisense: dnaK	2365
13326			13231	-	-	predicted RNA	antisense: dnaK	1876
13556			13384	-	-	predicted RNA	antisense: dnaK	2037
13929			13893	-	-	predicted RNA	antisense: dnaK	2391
14067			14033	-	-	predicted RNA	antisense: dnaK	1994
14161	14168	15298	15298	+	dnaJ	b0015	-	232
	15445	16557		+	insL1	b0016	-	46
	16960	16751		-	mokC	b0018	-	0
	16903	16751		-	hokC	b4412	-	0
16952			17006	+	sokC	b4413	-	0
	17489	18655		+	nhaA	b0019	-	88
	18715	19620		+	nhaR	b0020	-	14
	20314	19811		-	insB1	b0021	-	16
	20508	20233		-	insA	b0022	-	10
21190	21078	20815	20815	-	rpsT	b0023	-	291
	21181	21399		+	yaaY	b0024	-	8
	21407	22348		+	ribF	b0025	-	195
22349	22391	25207		+	ileS	b0026	-	874
22999			22985	-	-	predicted RNA	antisense: ileS	1781
23125			23105	-	-	predicted RNA	antisense: ileS	1844
23899			23867	-	-	predicted RNA	antisense: ileS	2005
24109			23974	-	-	predicted RNA	antisense: ileS	1688
24589			24559	-	-	predicted RNA	antisense: ileS	1884
25002			24970	-	-	predicted RNA	antisense: ileS	2253
	25207	25701	25701	+	lspA	b0027	-	300
25274			25265	-	-	predicted RNA	antisense: lspA	1756
25797	25826	26275	26275	+	fkpB	b0028	-	234
	26277	27227		+	ispH	b0029	-	156
	27293	28207		+	rihC	b0030	-	22
28361	28374	29195	29195	+	dapB	b0031	-	252
29566	29651	30799	30799	+	carA	b0032	-	512
30800	30817	34038	34038	+	carB	b0033	-	464
33206			33178	-	-	predicted RNA	antisense: carB	1997
	34300	34695		+	caiF	b0034	-	153
	35371	34781		-	caiE	b0035	-	16
	36162	35377		-	caiD	b0036	-	3
	37824	36271		-	caiC	b0037	-	7
	39115	37898		-	caiB	b0038	-	8
	40386	39244		-	caiA	b0039	-	13
	41931	40417		-	caiT	b0040	-	1
	42403	43173		+	fixA	b0041	-	1
	43188	44129		+	fixB	b0042	-	6
	44180	45466		+	fixC	b0043	-	3
	45463	45750		+	fixX	b0044	-	2
	45807	47138		+	yaaU	b0045	-	0
	47246	47776		+	kefF	b0046	-	39
	47769	49631		+	kefC	b0047	-	22
	49823	50302		+	folA	b0048	-	51
	51222	50380		-	apaH	b0049	-	62
	51606	51229		-	apaG	b0050	-	98
	52430	51609	51607	-	rsmA	b0051	-	203
	53416	52427		-	pdxA	b0052	-	120
54739	54702	53416		-	surA	b0053	-	269
57135	57109	54755	54755	-	lptD	b0054	-	246
	57364	58179		+	djlA	b0055	-	52
	60346	59687		-	rluA	b0058	-	26
	63264	60358		-	rapA	b0059	-	47
	65780	63429		-	polB	b0060	-	11
	66550	65855		-	araD	b0061	-	1
	68337	66835		-	araA	b0062	-	6
	70048	68348		-	araB	b0063	-	5
	70387	71265		+	araC	b0064	-	23
	71351	72115		+	yabI	b0065	-	17
	72927	72229		-	thiQ	b0066	-	30
	74521	72911		-	thiP	b0067	-	41
	75480	74497		-	thiB	b0068	-	78
	77299	75644		-	sgrR	b0069	-	17
77367			77593	+	sgrS	b4577	-	0
	77388	77519		+	sgrT	b4662	-	0
	77621	78799		+	setA	b0070	-	31
78847			78881	+	-	predicted RNA	antisense: leuD	3014
79463	79453	78848	78848	-	leuD	b0071	-	793
80864	80864	79464	79464	-	leuC	b0072	-	1069
79961			80067	+	-	predicted RNA	antisense: leuC	1564
80152			80449	+	-	predicted RNA	antisense: leuC	1581
80666			80702	+	-	predicted RNA	antisense: leuC	2399
80781			80815	+	-	predicted RNA	antisense: leuC	1792
	81958	80867	80865	-	leuB	b0073	-	1510
80873			80898	+	-	predicted RNA	antisense: leuB	2309
81058			81172	+	-	predicted RNA	antisense: leuB	2393
81228			81446	+	-	predicted RNA	antisense: leuB	1684
81715			81732	+	-	predicted RNA	antisense: leuB	1922
81783			81837	+	-	predicted RNA	antisense: leuB	2411
81893			81959	+	-	predicted RNA	antisense: leuB leuA	1862
83563	83529	81958		-	leuA	b0074	-	837
82501			82525	+	-	predicted RNA	antisense: leuA	1793
	83708	83622		-	leuL	b0075	-	38
	84368	85312		+	leuO	b0076	-	1
85616	85630	87354	87356	+	ilvI	b0077	-	309
87357	87357	87848	87848	+	ilvH	b0078	-	239
	88028	89032		+	cra	b0080	-	166
89603	89634	90092	90092	+	mraZ	b0081	-	208
	90094	91035		+	rsmH	b0082	-	136
	91032	91397		+	ftsL	b0083	-	148
	91413	93179		+	ftsI	b0084	-	48
	93166	94653		+	murE	b0085	-	201
	94650	96008		+	murF	b0086	-	119
	96002	97084		+	mraY	b0087	-	124
	97087	98403		+	murD	b0088	-	159
	98403	99647		+	ftsW	b0089	-	105
	99644	100711		+	murG	b0090	-	99
	100765	102240		+	murC	b0091	-	90
	102233	103153		+	ddlB	b0092	-	136
	103155	103985		+	ftsQ	b0093	-	128
	103982	105244	105244	+	ftsA	b0094	-	286
105260	105305	106456	106556	+	ftsZ	b0095	-	1029
105660			105560	-	-	predicted RNA	antisense: ftsZ	1627
105818			105802	-	-	predicted RNA	antisense: ftsZ	1944
105966			105957	-	-	predicted RNA	antisense: ftsZ	1849
106061			106028	-	-	predicted RNA	antisense: ftsZ	2147
106204			106170	-	-	predicted RNA	antisense: ftsZ	2359
106557	106557	107474	107474	+	lpxC	b0096	-	856
106764			106753	-	-	predicted RNA	antisense: lpxC	1832
107308			107254	-	-	predicted RNA	antisense: lpxC	2225
107420			107392	-	-	predicted RNA	antisense: lpxC	2198
	107705	108217		+	secM	b0097	-	96
108268	108279	110984	110984	+	secA	b0098	-	216
	111044	111433		+	mutT	b0099	-	24
	111846	111649		-	yacG	b0101	-	48
	112599	111856		-	zapD	b0102	-	66
	113219	112599		-	coaE	b0103	-	51
113422	113444	114487	114487	+	guaC	b0104	-	262
	115724	114522		-	hofC	b0106	-	4
	117099	115714		-	hofB	b0107	-	6
	117549	117109		-	ppdD	b0108	-	3
	118645	117752		-	nadC	b0109	-	73
	118733	119284		+	ampD	b0110	-	37
	119281	120135		+	ampE	b0111	-	88
121633	121551	120178	120178	-	aroP	b0112	-	350
	122092	122856		+	pdhR	b0113	-	37
122980	123017	125680	125680	+	aceE	b0114	-	526
125695	125695	127587	127587	+	aceF	b0115	-	350
127833	127912	129336	129336	+	lpd	b0116	-	299
	131260	129407		-	yacH	b0117	-	8
	131615	134212		+	acnB	b0118	-	132
	134388	134750		+	yacL	b0119	-	53
	135582	134788		-	speD	b0120	-	125
	136464	135598		-	speE	b0121	-	145
	136917	136570		-	yacC	b0122	-	32
	137083	138633		+	cueO	b0123	-	37
	141225	138835		-	gcd	b0124	-	7
141373	141431	141967	141998	+	hpt	b0125	-	205
	142670	142008		-	can	b0126	-	150
	142779	143705		+	yadG	b0127	-	54
	143702	144472		+	yadH	b0128	-	82
	144577	145017		+	yadI	b0129	-	9
	145081	146310		+	yadE	b0130	-	12
146735	146694	146314	146314	-	panD	b0131	-	343
	146968	147870		+	yadD	b0132	-	20
148795	148795	147944	147944	-	panC	b0133	-	404
149601	149601	148807	148796	-	panB	b0134	-	583
	150953	149715		-	yadC	b0135	-	0
	151599	151003		-	yadK	b0136	-	0
	152231	151626		-	yadL	b0137	-	4
	152812	152243		-	yadM	b0138	-	4
	155426	152829		-	htrE	b0139	-	1
	156201	155461		-	yadV	b0140	-	1
	156883	156299		-	yadN	b0141	-	2
	157732	157253		-	folK	b0142	-	34
159153	159126	157729		-	pcnB	b0143	-	277
	160112	159186		-	gluQ	b0144	-	14
160638	160604	160149	160149	-	dksA	b0145	-	315
	161486	160782		-	sfsA	b0146	-	33
	162031	161501		-	ligT	b0147	-	21
	162105	164534		+	hrpB	b0148	-	35
	164730	167264		+	mrcB	b0149	-	63
	167484	169727		+	fhuA	b0150	-	8
	169778	170575		+	fhuC	b0151	-	12
	170575	171465		+	fhuD	b0152	-	6
	171462	173444		+	fhuB	b0153	-	12
	174882	173602		-	hemL	b0154	-	171
	175107	176528		+	clcA	b0155	-	39
176574	176610	176954	176954	+	erpA	b0156	-	324
	177624	177001		-	yadS	b0157	-	14
	178462	177662		-	btuF	b0158	-	9
179165	179153	178455		-	mtn	b0159	-	280
	179237	180754		+	dgt	b0160	-	25
180870	180884	182308	182308	+	degP	b0161	-	239
	182463	183620		+	cdaR	b0162	-	10
	184095	183709		-	yaeH	b0163	-	57
	185069	184257		-	yaeI	b0164	-	8
185960	185947	185123	185123	-	dapD	b0166	-	787
	188650	185978		-	glnD	b0167	-	48
	189506	188712		-	map	b0168	-	119
189712			189847	+	tff	b4414	-	1528
189848	189874	190599	190611	+	rpsB	b0169	-	1786
190381			190227	-	-	predicted RNA	antisense: rpsB	2351
190664			190444	-	-	predicted RNA	antisense: rpsB	2720
190755			190728	-	-	predicted RNA	-	2363
190739	190857	191708	191708	+	tsf	b0170	-	1025
191069			191004	-	-	predicted RNA	antisense: tsf	2765
191173			191139	-	-	predicted RNA	antisense: tsf	2544
191481			191313	-	-	predicted RNA	antisense: tsf	1837
191839	191855	192580	192580	+	pyrH	b0171	-	440
192827	192872	193429	193429	+	frr	b0172	-	508
192937			192925	-	-	predicted RNA	antisense: frr	1870
	193521	194717		+	dxr	b0173	-	42
	194903	195664		+	ispU	b0174	-	192
	195677	196534		+	cdsA	b0175	-	152
	196546	197898		+	rseP	b0176	-	188
197899	197928	200360	200360	+	bamA	b0177	-	405
200361	200482	200967	200970	+	skp	b0178	-	964
200739			200688	-	-	predicted RNA	antisense: skp	2426
200903			200881	-	-	predicted RNA	antisense: skp	1784
200971	200971	201996	201996	+	lpxD	b0179	-	738
201513			201481	-	-	predicted RNA	antisense: lpxD	2295
201928			201899	-	-	predicted RNA	antisense: lpxD	1837
202101	202101	202556	202556	+	fabZ	b0180	-	430
202557	202560	203348		+	lpxA	b0181	-	504
	203348	204496		+	lpxB	b0182	-	103
	204493	205089		+	rnhB	b0183	-	40
